neighborhood,city,geoType,indicator,value,topic,type,format,order,topicOrder
Belltown,Stamford,1_neighborhood,Total population,4258,Age,table,",",1,1
Cove-East Side,Stamford,1_neighborhood,Total population,17977,Age,table,",",1,1
Downtown,Stamford,1_neighborhood,Total population,19440,Age,table,",",1,1
Glenbrook,Stamford,1_neighborhood,Total population,12814,Age,table,",",1,1
Newfield,Stamford,1_neighborhood,Total population,3408,Age,table,",",1,1
North Stamford,Stamford,1_neighborhood,Total population,14599,Age,table,",",1,1
PH-Roxbury-Westover,Stamford,1_neighborhood,Total population,4972,Age,table,",",1,1
Ridgeway,Stamford,1_neighborhood,Total population,4678,Age,table,",",1,1
Shippan,Stamford,1_neighborhood,Total population,2281,Age,table,",",1,1
South End,Stamford,1_neighborhood,Total population,4468,Age,table,",",1,1
Springdale,Stamford,1_neighborhood,Total population,7229,Age,table,",",1,1
Turn of River,Stamford,1_neighborhood,Total population,12589,Age,table,",",1,1
Waterside,Stamford,1_neighborhood,Total population,5836,Age,table,",",1,1
West Side,Stamford,1_neighborhood,Total population,12861,Age,table,",",1,1
Stamford,Stamford,2_city,Total population,127410,Age,table,",",1,1
Fairfield County,Stamford,3_county,Total population,941618,Age,table,",",1,1
Connecticut,Stamford,4_state,Total population,3588570,Age,table,",",1,1
Belltown,Stamford,1_neighborhood,Population under age 18,948,Age,table,",",2,2
Cove-East Side,Stamford,1_neighborhood,Population under age 18,3771,Age,table,",",2,2
Downtown,Stamford,1_neighborhood,Population under age 18,2870,Age,table,",",2,2
Glenbrook,Stamford,1_neighborhood,Population under age 18,2768,Age,table,",",2,2
Newfield,Stamford,1_neighborhood,Population under age 18,688,Age,table,",",2,2
North Stamford,Stamford,1_neighborhood,Population under age 18,3507,Age,table,",",2,2
PH-Roxbury-Westover,Stamford,1_neighborhood,Population under age 18,1003,Age,table,",",2,2
Ridgeway,Stamford,1_neighborhood,Population under age 18,941,Age,table,",",2,2
Shippan,Stamford,1_neighborhood,Population under age 18,514,Age,table,",",2,2
South End,Stamford,1_neighborhood,Population under age 18,994,Age,table,",",2,2
Springdale,Stamford,1_neighborhood,Population under age 18,1688,Age,table,",",2,2
Turn of River,Stamford,1_neighborhood,Population under age 18,2662,Age,table,",",2,2
Waterside,Stamford,1_neighborhood,Population under age 18,1326,Age,table,",",2,2
West Side,Stamford,1_neighborhood,Population under age 18,3461,Age,table,",",2,2
Stamford,Stamford,2_city,Population under age 18,27141,Age,table,",",2,2
Fairfield County,Stamford,3_county,Population under age 18,222006,Age,table,",",2,2
Connecticut,Stamford,4_state,Population under age 18,773652,Age,table,",",2,2
Belltown,Stamford,1_neighborhood,Percent under age 18,0.223,Age,map,.0%,3,3
Cove-East Side,Stamford,1_neighborhood,Percent under age 18,0.21,Age,map,.0%,3,3
Downtown,Stamford,1_neighborhood,Percent under age 18,0.148,Age,map,.0%,3,3
Glenbrook,Stamford,1_neighborhood,Percent under age 18,0.216,Age,map,.0%,3,3
Newfield,Stamford,1_neighborhood,Percent under age 18,0.202,Age,map,.0%,3,3
North Stamford,Stamford,1_neighborhood,Percent under age 18,0.24,Age,map,.0%,3,3
PH-Roxbury-Westover,Stamford,1_neighborhood,Percent under age 18,0.202,Age,map,.0%,3,3
Ridgeway,Stamford,1_neighborhood,Percent under age 18,0.201,Age,map,.0%,3,3
